"platform","hospital","x","est","lo","hi"
"Versius","SM",111,129.321297245327,121.57172564581,138.930457854276
"Versius","SM",112,129.773248691665,121.993990545637,139.505152362842
"Versius","SM",113,130.245327414074,122.562028956709,140.0208977326
"Versius","SM",114,130.736118370407,123.097822239855,140.451038369098
"Versius","SM",115,131.244186616375,123.532646726916,141.117695080027
"Versius","SM",116,131.768090253351,124.033002657719,141.804481392961
"Versius","SM",117,132.306393457931,124.284104391112,142.570004263283
"Versius","SM",118,132.857679610874,124.305403963307,143.411124466609
"Versius","SM",119,133.420564572716,124.311772688252,144.312567523934
"Versius","SM",120,133.99371018319,124.42225724344,145.286106272235
"Versius","SM",121,134.575838090436,124.35560157807,146.454289303668
"Versius","SM",122,135.165744042831,124.336387908212,147.795517535317
"Versius","SM",123,135.762312799995,124.049331183493,149.145261448421
"Versius","SM",124,136.364533838883,123.835712509183,150.70488652665
"Versius","SM",125,136.971518044977,123.588997130462,152.207641831147
"Versius","SM",126,137.582515586308,123.209730657502,153.724241631602
"Versius","SM",127,138.196935168651,122.830638765669,155.250356383346
"Versius","SM",128,138.8143648631,122.308951446965,156.819196273597
"Versius","BE",1,186.296051586978,163.361119095367,212.759107356741
"Versius","BE",2,186.22230073923,164.1583195284,211.65664639303
"Versius","BE",3,186.148624824471,165.080842223734,210.67635400256
"Versius","BE",4,186.075098010675,165.746297825196,209.758026568709
"Versius","BE",5,186.001827652623,166.603917662431,208.762015671286
"Versius","BE",6,185.928951572257,167.399039712486,207.74086127567
"Versius","BE",7,185.856635368551,168.140007496196,206.907124280569
"Versius","BE",8,185.785069759187,168.820603766132,206.039172523932
"Versius","BE",9,185.71446795669,169.098644629688,205.302907683712
"Versius","BE",10,185.645063081945,169.465719970153,204.390134384572
"Versius","BE",11,185.577105618255,170.085812875163,203.65621212601
"Versius","BE",12,185.51086090928,170.556410060789,202.995204056786
"Versius","BE",13,185.446606704284,170.79910429934,202.436861825571
"Versius","BE",14,185.384630754213,171.334223824764,201.558439220525
"Versius","BE",15,185.325228462154,171.742777005024,201.461790217544
"Versius","BE",16,185.268700591709,172.012516322961,200.794594941783
"Versius","BE",17,185.2153510368,172.368737947876,200.365570131986
"Versius","BE",18,185.165484656342,172.45382647123,200.065869834762
"Versius","BE",19,185.11940517716,172.536977040194,199.806753773433
"Versius","BE",20,185.07741316842,172.594744328627,199.647262235395
